text,embd,cluster
"FTMM Raih Juara II Terbaik dalam Ajang Website Award 2023 UNAIR
November 30, 2023

FTMM NEWS – Universitas Airlangga (UNAIR) menggelar Website Award 2023 sebagai ajang apresiasi bagi seluruh unit yang terdapat di dalamnya. Penghargaan ini merupakan wujud pengakuan terhadap dedikasi, kontribusi, dan komitmen fakultas. Khususnya memberikan sekaligus menyediakan berbagai pelayanan dan informasi melalui situs web.

Fakultas Teknologi Maju dan Multidisiplin (FTMM) tak pernah berhenti dalam mempertahankan prestasinya dengan meraih sejumlah penghargaan. Prestasi kali ini berhasil FTMM raih sebagai Juara II Website Terbaik Fakultas pada ajang Website Award 2023. Keberhasilan ini adalah buah dari dedikasi serta semangat tim FTMM yang tak pernah berhenti berkarya.

Dedikasi dan Kreativitas
Rizky Astari Rahmania, S.T., M.Sc selaku Dosen Teknik Industri, sekaligus Humas FTMM, mengungkapkan bahwa situs web FTMM dirancang untuk menyediakan informasi dan pelayanan yang komprehensif bagi masyarakat. Dengan fitur-fitur lengkap seperti profil FTMM, program, layanan akademik, berita, PPID FTMM, dan integrasi dengan berbagai platform seperti situs web UNAIR, Cyber Campus, e-learning, e-office, e-journal, perpustakaan, SIPARU, dan lainnya.

Rizky menjelaskan bahwa situs web FTMM telah hadir sejak berdirinya fakultas tersebut. Tim yang bertanggung jawab, terdiri dari Aisyah Dewi Muthi’ah S.T M.T MBA, Amila Sofiah, S.T., M.T., dan Muhammad Noor Fakhruzzaman, S.Kom., M.Sc, dengan Chandrawati Putri Wulandari, S.T., M.T., MBA., Ph.D., sebagai ketua humas pada masa itu. Dengan dedikasi mereka, situs web FTMM berhasil berkembang hingga seperti saat ini.

“Semua berita yang tayang pada website FTMM telah lolos SEO. Tahun ini kita berfokus pada kualitas artikel. Saat ini telah terdapat tim editor pada masing-masing prodi. Mahasiswa juga telah banyak yang berkontribusi memberikan artikel, tetapi belum terdapat tim mahasiswa secara resmi,” ucap Rizky.

Upaya ke Depan

Hingga saat ini, banyak penelitian dosen FTMM yang telah terpublish di jurnal-jurnal ilmiah, namun belum sepenuhnya tertuang menjadi artikel populer di situs web FTMM tahun ini. Rencananya, tahun mendatang, akan fokus lebih intens untuk menghadirkan artikel populer yang mengulas penelitian dosen tersebut.

Rizky berharap agar ke depannya terbentuk tim khusus dari kalangan mahasiswa yang bertanggung jawab atas konten situs web. Setiap tahunnya, akan ada regenerasi tim, yang akan diawali dengan pelatihan bagi anggota tim. Proses ini diharapkan dapat memberikan kontribusi yang lebih aktif dan terkoordinasi dalam menyajikan informasi terbaru seputar penelitian dosen FTMM.

Penulis: Maissy Ar Maghfiroh

Editor: Andri Hariyanto","[-0.29045081  1.10398769  0.00224327 ... -0.70957738  2.07550812
  1.17691481]",[3.]
"FTMM Sumbangkan Sepeda Listrik Dalam Pengmas Penugasan di Gili Iyang
Maret 31, 2023

FTMM NEWS – Pengabdian Masyarakat penugasan solar panel shelter dan sepeda listrik Fakultas Teknologi Maju dan Multidisiplin (FTMM) Universitas Airlangga,  dilaksanakan di Pulau Gili Iyang, Madura. Pengmas di pulau yang dikenal punya kadar oksigen tinggi ini  membawa dua tema proyek yang diketuai oleh dosen Prodi Teknik Elektro FTMM. Salah satu tema tersebut adalah “Sepeda Listrik dan Solar Panel Shelter for E-Bike Charging sebagai sarana mobilitas tenaga kesehatan puskesmas di Pulau Gili Iyang, Sumenep” yang diketuai oleh dosen Yoga Uta Nugraha, S.T., M.T.

“Kami menciptakan sepeda listrik untuk mendukung kebutuhan kegiatan tenaga medis di puskesmas pembantu Desa Bancamara,” tutur Yoga Uta selaku ketua pengmas penugasan. 

Sepeda listrik yang diberikan kepada pustu Desa Bancamara memiliki kapasitas baterai 36 Volt sehingga dapat menempuh jarak yang lebih jauh. Selain itu, dilengkapi layar display untuk menunjukkan indikator ketersediaan baterai pada sepeda listrik tersebut.  

“Sepeda ini bisa dilipat sehingga mudah untuk dibawa kemana – mana. Lalu, kami tetap memasang pedal manualnya jadi kalau sewaktu – waktu baterai habis bisa diayun secara manual,” ujar Rayhan Akbar Xavier, selaku mahasiswa pembantu.

Ray juga menambahkan jika sepeda listrik ini dapat diisi daya baterainya menggunakan solar panel shelter yang juga bagian dari proyek mereka. Solar panel shelter diletakkan di kawasan wisata Gua Canggah, Desa Banraas, Dungkek. Alat ini dilengkapi solar panel 50 WP-Mono, baterai lead acid 12 volt/50 Ampere hour, lampu LED, 3 port socket AC 220V AC dan 2 port socket DC 5 VDC.

“Kami juga memikirkan sumber tegangan sepeda listrik ini jadi kami sekalian membawa solar panel shelter. Karena Pulau Gili Iyang sendiri masih menggunakan tenaga diesel untuk kebutuhan listrik mereka,” ujar M. Farhan Rizky, salah satu mahasiswa yang terlibat dari tim EV-OS. 

Farhan menjelaskan jika penggunaan listrik yang digunakan warga Gili Iyang tidak berasal dari PLN melainkan menggunakan Pembangkit Listrik Tenaga Diesel (PLTD). Ketidaktercapaian PLN di pulau ini membuat warga Gili Iyang bergantian dalam menggunakan listrik mengingat kapasitas PLTD di pulau yang dikenal punya kadar oksigen baik ini terbatas. Sehingga sepeda listrik menjadi produk yang mendukung pada industri, inovasi dan infrastruktu. (ant/and)

Kontributor : Antik Widi Anugrah, Mahasiswa Teknik Elektro","[-0.57557249  2.33989835  0.20080498 ...  0.65748674 -0.63771766
  3.64170671]",[0.]
"Himano x SDGs UNAIR Dorong Zero Waste Lifestyle
Oktober 4, 2023

FTMM NEWS – Isu zero waste menjadi isu yang menarik dalam pengabdian masyarakat HIMANO x SDGs UNAIR. Pengabdian masyarakat ini berlangsung 16 dan 23 September 2023, di daerah Dukuh Sutorejo, Surabaya. 

Mereka membawakan tema “Transformasi Limbah Organik Menjadi Energi Terbarukan: Mendorong Gerakan Zero Waste Lifestyle” melalui Pengolahan Biogas. Kegiatan-kegiatan yang mereka lakukan adalah sosialisasi mengenai jenis sampah, renewable energy dan SDGs serta praktek pembuatan reaktor biogas. Pada Pengabdian masyarakat ini, masyarakat yang ikut kegiatan ini  berjumlah 30 orang serta mahasiswa penyelenggara berjumlah 23 mahasiswa. 

Aliyah, warga RW 05 Dukuh Sutorejo mengaku senang dengan adanya pengabdian masyarakat ini. Mereka bisa menambah ilmu tentang pengolahan sampah. Aliyah berharap semoga pengabdian masyarakat ini mendapat dukungan penuh. Bukan hanya dari kampus, tetapi juga dari pemerintah. 

“Nantinya kita akan mengaplikasikan ilmu yang kita dapat sehingga daerah lingkungan daerah kita dapat lebih bersih,” ujar Aliyah.


Harapannya dengan pengabdian ini dapat membuka mata masyarakat tentang pentingnya pengolahan limbah. Pengolahan limbah sangatlah penting bagi masyarakat. Jika mereka mampu menerapkan pengolahan limbah ini, bukan tidak mungkin Surabaya mencapai kota tanpa limbah. 

Sementara itu, zero waste sebagai suatu gerakan untuk tidak menghasilkan sampah dengan cara mengurangi kebutuhan, menggunakan kembali, mendaur ulang. Gerakan ini tidak melibatkan pembakaran maupun penimbunan seperti yang pada umumnya dilakukan pada limbah. Dengan begitu, maka dapat melestarikan dan memulihkan semua sumber daya.

Kegiatan pengmas zero waste sejalan dengan komitmen  FTMM mendukung poin 2 SDGs, “Zero Hunger”.

Penulis : Muhammad Kahlil Gibran 

Editor : Andri Hariyanto","[-0.00254497  0.24154332  0.78253984 ... -0.34098986  1.15179944
  0.67158622]",[3.]
"Mitra Kolaborasi Penelitian FTMM

PT. Tancorp Abadi Nusantara
Nomor UNAIR: 08/UN3/HK.07.00/2021
Nomor PT. Tancorp: 06/SKE/TAN/POD/01/2021
Judul Kerjasama : NOTA KESEPAHAMAN ANTARA UNIVERSITAS AIRLANGGA DENGAN PT TANCORP ABADI NUSANTARA

PT. Wijaya Karya (Persero) Tbk.
Nomor UNAIR: 25/UN3/HK.07.00/2021
Nomor PT. Wijaya Karya: TP.01.03/A.DIR.00235/2021
Judul : NOTA KESEPAHAMAN ANTARA UNIVERSITAS AIRLANGGA DAN PT WIJAYA KARYA (Persero) Tbk

PT. Surya Utama Nuansa
Nomor UNAIR: 44/UN3/HK.07.00/2021
Nomor PT. SUN: G.10/SUN-UNAIR/MoU/III/2021
Judul : Kerjasama Penyelenggaraan Tridarma Perguruan Tinggi

PT. Pembangkitan Jawa-Bali (PT. PJB)
Nomor UNAIR: 222/UN3/HK.07.00/2020
Nomor PT. Pembangkitan Jawa-Bali (PT. PJB) : 039.PJ/061/PJB0UNAIR/XII/2020
Judul : Pendidikan, Pelatihan Sumber Daya Manusia, Penelitian dan Pengembangan Ilmu Pengetahuan untuk Menunjang Peningkatan Kualitas Sumber Daya Manusia Serta Pelaksanaan Program Penelusuran Minat dan Kemampuan

PT. Sinergi Inti Berkah Investama (Goolive)
Nomor UNAIR: 72/UN3/HK.07.00/2022
Nomor PT. Sinergi Inti Berkah Investama (Goolive): 009/17/HR/III/2022
Judul : Kerjasama Penyelenggaraan Tridarma Perguruan Tinggi

PT. Terminal Elektronika Sekawan (PT. TES)
Nomor FTMM: 470/UN3.1.17/KS/2022
Nomor PT. Terminal Elektronika Sekawan (PT. TES): 057/PKS-TES/IV/2022
Judul : Pendidikan, Penelitian, dan Pengabdian kepada Masyarakat, serta Pemanfaatan Sumber Daya untuk Penyempurnaan Kurikulum sesuai Kebutuhan Industri

PT. Sinergi Inti Berkah Investama (Goolive)
Nomor FTMM: 477/UN3.1.17/KS/2022
Nomor PT. Sinergi Inti Berkah Investama (Goolive): 002/17/HR/V/2022
Judul : Implementasi Merdeka Belajar dan Kampus Merdeka dalam Kegiatan Tri Dharma PT

PT. Pembangkitan Jawa-Bali (PT. PJB)
Nomor UNAIR: 258/UN3/HK.07.00/2021
Nomor PT. Pembangkitan Jawa-Bali: 006.PJ/061/PJB-UNAIR/XII/2021
Judul : Pendirian Research Center for New and Renewable Energy (RCeNREE)

PT. Aria Agri Indonesia
Nomor FTMM: 1745/UN3.1.17/KS/2022
Nomor PT. Aria Agri Indonesia:14.001/ARIA/HR/VIII/2022
Judul : Program Kampus Merdeka

PT. Adhikara Wiyasa Gani
Nomor FTMM: 90/UN3.1.17/KS/2022
Nomor PT. Adhikara Wiyasa Gani: 23/SP.01/ADH/II/2022
Judul : Kerjasama dalam Pelaksanaan Merdeka Belajar Kampus Merdeka","[-0.40070644  2.79959583  0.39358607 ...  0.24726881 -1.39754951
  1.64166856]",[0.]
"Partnership FTMM
PLN Nusantara Power
SUN Energy
TanCorp
Terminal Elektronika Sekawan
TESTINDO
Universitas Brawijaya

Keyword: Kerjasama, Perusahaan, Partnership, Praktisi","[-0.3934589   2.26024032  0.91816902 ... -0.88455892 -0.74959266
  1.03120124]",[0.]
"Profil Program Studi
Rekayasa Nanoteknologi 
Visi
Menjadi program studi yang unggul dan terdepan dalam menyiapkan sumber daya manusia sekaligus pengembangan ilmu di bidang nanoteknologi medis, nanoteknologi energi dan lingkungan, industri nanoteknologi dan komputasi nanoteknologi untuk kepentingan masyarakat luas. 
Misi
Menyelenggarakan pendidikan Sarjana Program Rekayasa Nanoteknologi secara profesional dan berkualitas dengan berdasarkan perkembangan ilmu pengetahuan serta kebutuhan pasar secara global.
Mengembangkan ilmu pengetahuan melalui penelitian laboratorium di bidang nanoteknologi.
Melaksanakan pengabdian masyarakat sebagai salah satu bentuk tanggung jawab sosial demi kesejahteraan masyarakat luas.
Melakukan dan meningkatkan kerjasama pendidikan dan penelitian dengan berbagai institusi baik di dalam maupun luar negeri dengan mempertimbangkan aspek kesetaraan dan keberlanjutan
Gelar Lulusan
S.T. (Sarjana Teknik)
Deskripsi Program Studi

Program Studi S-1 Rekayasa Nanoteknologi merupakan program studi di Indonesia yang relatif baru dan unik yang terfokus ke studi mengenai nanoteknologi. Di program studi ini, mahasiswa akan mempelajari tentang berbagai bidang ilmu nanoteknologi yang fundamental, yaitu Kimia, Fisika, Biologi, keteknikan, dan juga fabrikasi, yang termasuk di dalamnya desain dan aplikasi nanomaterial di bidang Kesehatan, industri, lingkungan, dll. Dengan fasilitas yang memadai seperti ruang kelas, laboratorium, dan instrumen lab, dan juga didukung oleh Â kurikulum yang dirancang dengan baik, mahasiswa akan mendapatkan keahlian untuk berfikir kritis, bekerja sama dalam tim, dan penyelesaian masalah, yang kesemuanya sangat diperlukan di dunia kerja. Program studi ini juga didukung oleh kolaborasi yang sangat kuat di bidang akademik dan riset dengan banyak institusi lain baik di dalam maupun luar negeri demi selalu meningkatkan kegiatan belajar mengajar.
Pelaksanaan Program
Purnawaktu
Pelaksanaan Perkuliahan

Didalam Kampus
Periode Penerimaan

Bulan Juli setiap Tahun
Durasi Studi

4 tahun (8 semester)
Akreditasi

Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) dengan predikat Baik

Prospek Lulusan

Rekayasa Nanoteknologi memiliki beberapa kesempatan karir seperti menjadi :1. Peneliti2. Entrepreneur3. Akademisi4. Tenaga Ahli/Manajer/Supervisior5. Konsultan

",[0.21429804 2.83506989 0.78638422 ... 0.59525263 2.26923084 0.77181482],[2.]
"toping off FTMM pada 20 Juni 2020
Pelantikan Dekan FTMM dilakukan pada 1 Oktober 2020

Fakultas Teknologi Maju dan Multidisiplin (FTMM), yang semula bernama Sekolah Teknologi Maju dan Multidisiplin, didirikan pada November 2019 dengan 5 program studi S1, antara lain: Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro. 

FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.
Keyword: Pendirian, Sejarah, Awal, Mula, Terbentuk","[ 1.32646537 -1.50543499  1.53258133 ... -0.47456944  4.45538855
  1.39238417]",[0.]
"Staf Dosen Program StudiTeknik Robotika dan Kecerdasan Buatan 
Koordinator Program Studi Teknik Robotika dan Kecerdasan Buatan 
Purbandini, S.Si., M.Kom. 

Staf Dosen Prodi Teknik Robotika dan Kecerdasan Buatan
Amila Sofiah, S.T., M.T. 
Rodik Wahyu Indrawan, S.ST., M.Tr.T. 
Rizki Putra Prastio, S.Si, M.T. 
Asif Ali Zamzami, S.ST, M.Sc., Ph.D. (Cand) 
Sylmina Dalily Alkaff, S.T, M.Sc., Ph.D. (Cand) 
Yutika Amelia Effendi, S.Kom., M.Kom., Ph.D. (Cand) 
Muhammad Aldo Setiawan, S.Si., M.Sc (Eng). 
Ali Ikhsanul Qauli, S.Si., M.Eng, Ph.D. (Cand) 
Dr. Eng. Ananta Adhi Wardana ","[-0.90355754  2.55084443 -1.37736845 ...  0.40692806  0.32127708
 -0.03655196]",[3.]
"Staf Dosen Prodi Rekayasa Nanoteknologi 

Koordinator Program Studi Rekayasa Nanoteknologi 

Prof. Dr. Dra. Retno Sari, MSc., Apt 
Dosen Prodi
Prastika Krisma Jiwanti, S.Si., MSc.Eng., Ph.D 
Ilma Amalina, S.Si., M.Si., Ph.D. 
Fadjar Mulya, S.Si., M.Sc 
Dr. Raden Joko Kuncoroningrat Susilo, S.Si., M.Si. 
Tahta Amrillah, S.Si., M.Sc., Ph.D 
Dr. Eng. Moch. Lutfi Firmansyah, S.Si., M.Phil. 
Mirza Ardella Saputra, S.Si., M.Sc., Ph.D 
Dr. Suhailah Hayaza, S.Si., M.Si. 
","[ 1.81692767  1.53097451 -1.12529159 ... -0.11666905  2.06256485
  0.55502456]",[2.]
"
Staf Dosen Program StudiTeknik Industri 
Koordinator Program Studi Teknik Industri 
Chandrawati Putri Wulandari, S.T., M.T., MBA., Ph.D.
Aisyah Dewi Muthiâ€™ah S.T M.T MBA
Shofa Aulia Aldhama S.T.,M.T
Rizky Astari Rahmania, S.T., M.Sc 
Gunawan Setia Prihandana, Ph.D
Dr. Niko Azhari Hidayat, Sp.BTKV(K)
Kartika Nur â€˜Anisaâ€™, S.Si., MBA., Ph.D.
","[ 1.64412606  1.27472651 -0.33857307 ...  0.24076211 -2.0802424
 -0.55674994]",[2.]
" 
Staf Dosen Program StudiTeknologi Sains Data 
Koordinator Program Studi Teknologi Sains Data 
Dr. Dwi Rantini, S.Si. 
Staf Dosen Prodi Teknologi Sains Data
Muhammad Noor Fakhruzzaman, S.Kom., M.Sc. 
Ratih Ardiati Ningrum, S.Si., M.Stat. 
Mohammad Ghani, S.Si., M.Si., Ph.D. 
Dr. Maryamah, S.Kom 
Indah Fahmiyah, S.Si., M.Stat. 
Ika Qutsiati Utami, S.Kom., M.Sc. Ph.D (Cand) 
Dr. (Cand) Septia Devi Prihastuti Yasmirullah, S.Si ","[-2.19886518 -0.82881367  0.64005423 ... -0.80175471  2.7816782
 -2.1574254 ]",[3.]
"Teknik Elektro â€“ Program Studi 

Profil Program StudiTeknik Elektro 
Visi
Menjadi program studi sarjana Teknik Elektro yang inovatif, unggul, dan terkemuka tingkat nasional dan internasional serta berperan dalam aktif dalam usaha mensejahterakan bangsa berdasar moral agama 

Misi
Mengembangkan pendidikan dan penelitian di bidang Teknik Elektro sehingga menghasilkan lulusan yang bereputasi internasional.
Berkontribusi nyata untuk menerapkan teknologi yang tepat dan modern di masyarakat nasional dan internasional.

Deskripsi Program Studi

Program Studi S-1 Teknik Elektro Universitas Airlangga berfokus pada penerapkan pengetahuan keteknikan untuk mendapatkan pemahaman menyeluruh tentang prinsip-prinsip keteknikan. Dalam program studi ini, mahasiswa akan belajar mengenai pengetahuan inti (core knowledge) bidang teknik elektro termasuk rangkaian elektrik, sistem dan sinyal, sistem digital, elektromagnetik, dan elektronika. Selain itu mahasiswa juga akan belajar mengenai pengetahuan keluasan (breadth knowledge) yang mencakup sejumlah topik kerekayasaan pada bidang teknik ketenagalistrikan, sistem control, system telekomunikasi, elektronika dan sistem computer. Program Studi S-1 Teknik Elektro Universitas Airlangga memiliki 2 peminatan yaitu Teknik sistem tenaga dan Teknik sistem pengaturan. Dengan kurikulum Teacher Centered Learning dan Student Centered Learning (Presentasi, Diskusi, Video Pembelajaran, Seminar, Project Based Learning dan Study Case learning) dan dilengkapi dengan fasilitas yang mendukung pembelajaran, mahasiswa akan mendapatkan pengetahuan dan kemampuan di bidang Teknik elektro untuk berkontribusi nyata dalam penerapan teknologi yang tepat guna dan modern serta menghasilkan lulusan yang bereputasi internasional.
Gelar Lulusan

Sarjana Teknik (S.T.)
Pelaksanaan Program

Purnawaktu

Pelaksanaan Perkuliahan

Di Dalam Kampus

Periode Penerimaan

Bulan Juli setiap Tahun
Durasi Studi

4 tahun (8 semester)

Akreditasi

Terakreditasi Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT)

Prospek Lulusan

Teknik Elektro memiliki beberapa kesempatan karir seperti menjadi :1. Teknik Ketenagalistrikan2. Teknik Kendali3. Teknik Telekomunikasi4. Teknik Komputer5. Elektronika






 














 











 











 

















 





				Copyright Â© 2023 FTMM UNAIR. All Right Reserved.					














 
031-59182123





 
info@ftmm.unair.ac.id





 
Gedung Kuliah Bersama, Kampus C UNAIR Kota Surabaya













Media Sosial Kami 






Instagram
 



Youtube
 



Twitter
 



Linkedin
 






















 



X
 













































","[ 1.50724113  1.00863886  3.05869007 ... -2.54331064  1.6981926
 -1.63146746]",[2.]
"Teknik Industri â€“ Program Studi 
Profil Program StudiTeknik Industri 
Visi
Visi dari Program Studi Teknik Industri Universitas Airlangga adalah menjadi program studi yang unggul dan bermartabat dalam hal pendidikan, penelitian, dan pengabdian masyarakat terkait bidang keilmuan teknik industri di tingkat internasional, berdasarkan moral agama. 
Misi
Melaksanakan program pendidikan bidang Teknik Industri yang selaras dengan aspek  keilmuan, perkembangan zaman, berlandaskan moral beragama serta berbangsa.
Melaksanakan penelitian baik dalam pengembangan metode dan aplikasi pada bidang  advanced manufacturing, ergonomi, dan rekayasa sistem yang berorientasi pada aplikasi dan  pengembangan keilmuan Teknik Industri secara luas.
Membantu memecahkan permasalahan yang terjadi di masyarakat dengan  mengimplementasikan keilmuan Teknik Industri melalui program pengabdian kepada  masyarakat. 
Membangun hubungan kerjasama dengan berbagai sektor di tingkat nasional dan  internasional dalam melakukan pendidikan, penelitian dan pengabdian masyarakat terkait  keilmuan Teknik Industri
Deskripsi Program Studi

Program Studi S-1 Teknik Industri merupakan program studi yang berfokus pada desain, perbaikan, dan implementasi sistem terintegrasi yang terdiri atas manusia, bahan baku, informasi, peralatan, dan energi. Di program studi ini, mahasiswa akan belajar mengenai berbagai bidang dalam ilmu Teknik Industri, antara lain Rekayasa Sistem, Faktor Manusia dan Ergonomi, serta Sistem Manufaktur. Dengan fasilitas yang memadai dan kurikulum yang dirancang dengan baik, mahasiswa akan mendapatkan skill untuk berpikir sistemik, bekerja sama dalam tim, dan memecahkan masalah, yang dapat menjadi bekal bagi lulusan untuk bersaing di dunia kerja.

Gelar Lulusan

Sarjana Teknik (S.T.)
Pelaksanaan Program

Purnawaktu
Pelaksanaan Perkuliahan

Di Dalam Kampus
Periode Penerimaan

Bulan Juli setiap Tahun
Durasi Studi

4 tahun (8 semester)
Akreditasi

Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) dengan predikat Baik
rospek Lulusan

Lulusan Program Sarjana Teknik Industri Universitas Airlangga akan memiliki gelar sarjana teknik (S.T) dengan kemampuan:Menerapkan pengetahuan dan keterampilan dalam disiplin keilmuan Teknik Industri secara efektif untuk melakukan perbaikan dan perancangan sistem untuk meningkatkan produktivitas dan kualitas luaran sistem;Berkomunikasi secara efektif serta mampu bekerja secara individu maupun tim.;Melakukan pembelajaran mandiri sepanjang hayat dalam mengembangkan pengetahuan dan keterampilan diri, serta keprofesiannya.
","[ 0.71718115  3.05392218  0.92787826 ... -0.04857965  3.63431859
 -0.96560413]",[2.]
"Profil Program Studi
Teknologi Sains Data
Visi
Pada tahun 2030 menjadi sebuah Program Studi S1 Teknologi Sains Data yang unggul di Indonesia dalam penerapan sains data pada bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial untuk mendukung perkembangan masyarakat ilmiah yang cerdas/unggul dan berbudi pekerti luhur/bermoral karimah.



Misi
Menyelenggarakan pendidikan di bidang Teknologi Sains Data yang berstandar nasional dan internasional agar mahasiswa mampu untuk berpikir kritis, berwawasan global, dan mengembangkan keterampilan dalam menjawab tantangan global
Menyelenggarakan penelitian dan pengembangan ilmu di bidang Teknologi Sains Data yang berstandar nasional dan internasional di bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial
Menyelenggarakan pengabdian kepada masyarakat yang menunjang penerapan dan pengembangan ilmu Teknologi Sains Data yang dapat mendukung perkembangan masyarakat dengan ilmiah, cerdas dan bermoral agama serta meningkatkan kesejahteraan masyarakat

Deskripsi Program Studi
Sains data adalah suatu disiplin ilmu yang mengintegrasikan ilmu matematika, statistika, dan komputer yang mempelajari tentang data skala besar atau disebut dengan Big Data. Data besar tersebut disebabkan oleh adanya peningkatan secara jumlah, variasi, dan kecepatan yang dihasilkan oleh teknologi terkini yang semakin berkembang. Untuk dapat mengolah data besar tersebut, dibutuhkan keahlian sains data sehingga menghasilkan wawasan dan informasi yang bermanfaat. Keahlian ini semakin banyak digunakan di berbagai bidang, seperti di bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial.

Gelar Lulusan
Sarjana Sains Data (S.T)

Pelaksanaan Program
Purnawaktu

Pelaksanaan Perkuliahan
Di Dalam Kampus

Periode Penerimaan
Bulan Juli setiap Tahun

Durasi studi
4 tahun (8 semester)

Prospek Lulusan
Teknologi Sains Data memiliki beberapa kesempatan karir seperti menjadi :

1. Konsultan

2. Entrepreneur

3. Data Analis

4. Ilmuwan Data

5. Akademisi","[-0.4486227   2.03062463  0.58526915 ...  0.82499969 -0.8149696
  2.39570045]",[0.]
"Tenaga Kependidikan 
Profil Tenaga KependidikanFakultas Teknologi Maju dan Multidisiplin 
Kepala Bagian Tata Usaha 
Dwi Sulistyarini, S.H 
Kepala Subbagian Sarana dan Prasarana 
Boedi Rahardjo, S.Sos 
Vinanci Intan Widriani, S.M 
Dian Kriswanto 
Mirna Putri Anggraeni, S.Si 
Yunus Rizki Setiawan, S.EI. 
Andri Hariyanto, S.Sos 
Yuliana Ariandini Ayuningtiyas, S.IIP 
Yulia Noor Azizah, S.Sosio. 
Mohammad Ichsan Herdito 
Kepala Subbagian SDM dan Keuangan 
Wilujeng Noorfianti,S.E 
Wikca Pratita, S.M., M.SM 
Erzalina Ayu Satya Megananda, S.Si 
R. Muhammad Akbar Bagus Prakoso, Amd.Bns 
Kepala Subbagian Akademik dan Kemahasiswaan 
Nurina Oktiviani, S.E 
Andy S. Nugroho, S.Kom 
Ahmad Dwi Cahya Oktavian, S.T 
Zuhairrizqi Elfad, S.Tr.T 
Novianti Nurfauzjiah, S.Si. 
Devi Ruchmana Rachmawati, S.Si., M.Si. 
Dhini Dwi Kartikawati, A.Md. Lib. 
M. Farras Taufiq Atsany, S.T 
Vivin Safitri, S.T 
Eliesa Chusnul Aulia, S.M 
Fivien Agustina, S.Si. 
Winda Aprilliana, M.T. 
","[ 1.48384404  0.65022665 -0.18453349 ...  0.1603872   2.50655961
 -1.03182578]",[2.]
